00_08854_base_of_taranaki.avif,?/31518/category/1967
01_08863_mp_claude_stevie.avif,?/31523/category/1967
10_20221121_205541044_green_valley.avif,?/31538/category/1967
11_20221121_225751465_bas_here.avif,?/31545/category/1967
20_08899_mountain_foxglove_v1.avif,?/31533/category/1967
21_20221121_235013069_taranaki_doc_visitor_centre_v1.avif,?/31547/category/1967
22_20221122_201912077_mountain_view.avif,?/31550/category/1967
30_08913_chick_v1.avif,?/31560/category/1968
31_08926_chicken_v1.avif,?/31562/category/1968
32_08943_te_rewa_rewa_and_rainbow_v1.avif,?/31565/category/1968
33_20221123_201436268_barrel_tidied_up.avif,?/31574/category/1969
40_20221124_004425772_bulls_where_things_are.avif,?/31579/category/1969
41_20221124_040249625_kapiti_island_v1.avif,?/31581/category/1969
