00_20250901_201146886_hello_spring.avif,?/37763/category/2152
01_20250901_231248411_fairlie_bakehouse.avif,?/37764/category/2152
02_04552_aoraki_from_pukaki_v1.avif,?/37755/category/2152
03_20250902_025448173_ride_to_tasman_glacier_v1.avif,?/37775/category/2153
04_20250902_031358132_tasman_saddle_hut_v1.avif,?/37782/category/2153
05_20250902_034508124_view_from_kelman_hut_v1.avif,?/37792/category/2153
06_20250902_034905017_inside_kelman_hut_v1.avif,?/37794/category/2153
07_20250902_051344186_skinning.avif,?/37800/category/2153
09_20250902_063007907_towards_the_sunset_a_family_portrait_v1.avif,?/37809/category/2153
10_20250902_192256916_morning_at_tasman_glacier.avif,?/38322/category/2176
11_04576_snowy_mountains_v1.avif,?/38318/category/2176
12_04580_no_penguins_in_kelman_hut_v1.avif,?/38320/category/2176
